feature,relative_importance_val1,relative_importance_val2,cluster
235,0.0008222317719524423,0.00046058458813091235,0
236,0.000395358831113021,0.00040744021257732506,0
237,0.0009740724824523707,0.0012223206377325066,0
238,0.0009396934536599341,0.0007440212577500443,0
239,0.0026414553788855462,0.004180690876882019,1
240,0.0008967196676693883,0.001204605845881311,0
241,0.0006446067898581864,0.000478299379982108,0
242,0.0014324595330181922,0.0013817537643932684,0
243,0.0019194957742443776,0.002869796279893711,1
244,0.0013952155851597193,0.0006377325066428698,0
245,0.0012834837415843,0.0008857395925597874,0
246,0.0016415986248388484,0.0023560673162088576,1
247,0.0016387337057728118,0.002090345438440921,1
248,0.0021945280045838705,0.0017360496014171833,1
249,0.001910901017046268,0.0023560673162088576,1
250,0.002197392923649907,0.00141718334809566,1
251,0.0007649333906317146,0.0010274579273693535,0
252,0.0014496490474144106,0.001612046058458813,0
253,0.0020083082652915052,0.000992028343666962,0
254,0.00045838705056582154,0.0013994685562444642,0
255,0.0018765219882538316,0.002037201062887334,1
256,0.002134364704197106,0.0034189548272807796,1
257,0.0013064030941125912,0.0016474756421612047,0
258,0.0009941269159146253,0.001275465013286094,0
259,0.0023692880676120897,0.003100088573959256,1
260,0.0011058587594900444,0.0010097431355181577,0
261,0.0005701188941412405,0.0009211691762621788,0
262,0.001945280045838705,0.003100088573959256,1
263,0.0011688869789428448,0.0008857395925597874,0
264,0.0009024495058014611,0.0005668733392380868,0
265,0.0025641025641025637,0.003312666076173605,1
266,0.0008480160435467696,0.001470327723649247,0
267,0.0010027216731127344,0.001771479185119575,0
268,0.002847729551640166,0.003312666076173605,1
269,0.0023291792006875805,0.0024269264836136403,1
270,0.0003638447213866208,0.0012223206377325066,0
271,0.0008967196676693883,0.0011691762621789195,0
272,0.0002950866638017476,0.0006023029229404783,0
273,0.004030941125913193,0.004517271922054739,1
274,0.0006446067898581864,0.0003897254207261293,0
275,0.0002578427159432746,0.00023029229406536757,0
276,0.0009196390201976793,0.0008503100088573959,0
277,0.0019366852886405956,0.003011514614703277,1
278,0.00028649190660363845,0.0007971656333038087,0
279,0.0019424151267726686,0.0019840566873337464,1
280,0.0014582438046125195,0.0020017714791849424,1
281,0.0006474717089242229,0.0015411868910540302,0
282,0.0026586448932817645,0.0037732506643045178,1
283,0.0007019051711789141,0.0009565987599645705,0
284,0.001910901017046268,0.0015411868910540302,1
285,0.003675691161724681,0.004074402125774845,1
286,0.0003838991548488755,0.0006023029229404783,0
287,0.00032373585446211143,0.0001948627103629761,0
288,0.0006044979229336771,0.001558901682905226,0
289,0.0008738003151410971,0.0021612046058457042,1
290,0.0006703910614525139,0.00040744021257732506,0
291,0.0005271451081506947,0.00031886625332134633,0
292,7.735281478304384e-05,0.0001948627103629761,0
293,0.001930955450508523,0.0029937998228520817,1
294,0.0010399656209712075,0.0016297608503100089,0
295,0.0025039392637158,0.0023383525243576616,1
296,0.0008680704770090244,0.0009565987599645705,0
297,0.00165592322016903,0.002196634189548096,1
298,0.0002205987680848016,7.085916740477519e-05,0
299,0.0008508809626128061,0.0004960141718333038,0
300,0.0014868929952728835,0.0010628875110717448,0
301,0.0014811631571408105,0.0013108945969884853,0
302,0.00040108866924509377,0.00044286979627971657,0
303,0.001335052284772955,0.0006023029229404783,0
304,0.0004154132645752757,0.0007971656333038087,0
305,0.00152127202406532,0.0010097431355181577,0
306,0.0004411975361696032,0.00035429583702373783,0
307,0.0016158143532445208,0.0023383525243576616,1
308,0.006715370290789285,0.008396811337466607,1
309,0.002102850594470706,0.0010274579273693535,0
310,0.0025812920784987823,0.002816651904340124,1
311,0.0004039535883111302,0.0009565987599645705,0
312,0.0006044979229336771,0.0008325952170062001,0
313,0.001498352671537029,0.0027812223206377324,1
314,0.0007334192809053143,0.0010451727192205492,0
